A146,Rialto,San Bernardino County,CA,California,City,34.1064,-117.37032,2024-12-15 09:59:33,2024-12-15 09:59:33
A147,Richmond,Contra Costa County,CA,California,City,37.93576,-122.34775,2024-12-15 09:59:33,2024-12-15 09:59:33
A148,Riverside,Riverside County,CA,California,City,33.95333,-117.39611,2024-12-15 09:59:33,2024-12-15 09:59:33
A149,Roseville,Placer County,CA,California,City,38.75212,-121.28801,2024-12-15 09:59:33,2024-12-15 09:59:33
A150,Sacramento,Sacramento County,CA,California,City,38.58157,-121.4944,2024-12-15 09:59:33,2024-12-15 09:59:33
A151,Salinas,Monterey County,CA,California,City,36.67774,-121.6555,2024-12-15 09:59:33,2024-12-15 09:59:33
A152,San Bernardino,San Bernardino County,CA,California,City,34.10834,-117.28977,2024-12-15 09:59:33,2024-12-15 09:59:33
A153,San Buenaventura (Ventura),Ventura County,CA,California,City,34.26778,-119.25421,2024-12-15 09:59:33,2024-12-15 09:59:33
A154,San Diego,San Diego County,CA,California,City,32.71533,-117.15726,2024-12-15 09:59:33,2024-12-15 09:59:33
A155,San Francisco,San Francisco County,CA,California,City,37.775,-122.41944,2024-12-15 09:59:33,2024-12-15 09:59:33
A156,San Jose,Santa Clara County,CA,California,City,37.33939,-121.89496,2024-12-15 09:59:33,2024-12-15 09:59:33
A157,San Mateo,San Mateo County,CA,California,City,37.56299,-122.32553,2024-12-15 09:59:33,2024-12-15 09:59:33
A158,Santa Ana,Orange County,CA,California,City,33.74557,-117.86783,2024-12-15 09:59:33,2024-12-15 09:59:33
A159,Santa Clara,Santa Clara County,CA,California,City,37.35411,-121.95524,2024-12-15 09:59:33,2024-12-15 09:59:33
A160,Santa Clarita,Los Angeles County,CA,California,City,34.39166,-118.54259,2024-12-15 09:59:33,2024-12-15 09:59:33
A161,Santa Maria,Santa Barbara County,CA,California,City,34.95303,-120.43572,2024-12-15 09:59:33,2024-12-15 09:59:33
A162,Santa Rosa,Sonoma County,CA,California,City,38.44047,-122.71443,2024-12-15 09:59:33,2024-12-15 09:59:33
A163,Simi Valley,Ventura County,CA,California,City,34.26945,-118.78148,2024-12-15 09:59:33,2024-12-15 09:59:33
A164,Stockton,San Joaquin County,CA,California,City,37.9577,-121.29078,2024-12-15 09:59:33,2024-12-15 09:59:33
A165,Sunnyvale,Santa Clara County,CA,California,City,37.36883,-122.03635,2024-12-15 09:59:33,2024-12-15 09:59:33
A166,Temecula,Riverside County,CA,California,City,33.49364,-117.14836,2024-12-15 09:59:33,2024-12-15 09:59:33
A167,Thousand Oaks,Ventura County,CA,California,City,34.17056,-118.8375,2024-12-15 09:59:33,2024-12-15 09:59:33
A168,Torrance,Los Angeles County,CA,California,City,33.83585,-118.34063,2024-12-15 09:59:33,2024-12-15 09:59:33
A169,Vallejo,Solano County,CA,California,City,38.10409,-122.25664,2024-12-15 09:59:33,2024-12-15 09:59:33
A170,Victorville,San Bernardino County,CA,California,City,34.53611,-117.29116,2024-12-15 09:59:33,2024-12-15 09:59:33
A171,Visalia,Tulare County,CA,California,City,36.33023,-119.29206,2024-12-15 09:59:33,2024-12-15 09:59:33
A172,Vista,San Diego County,CA,California,City,33.20004,-117.24254,2024-12-15 09:59:33,2024-12-15 09:59:33
A173,West Covina,Los Angeles County,CA,California,City,34.06862,-117.93895,2024-12-15 09:59:33,2024-12-15 09:59:33
